personId,name,team,clutch_games,PTS,FGA,FGM,3PM,FTA,FTM,TOV,eFG
2534718,J. Matos,BIG,11,37,23,11,4,13,11,7,56.5
725720,T. Metzger,DSC,9,31,17,9,6,8,7,3,70.6
2534733,R. Abell,MAL,9,25,16,6,3,12,10,2,46.9
2534734,J. Cruz,MAL,8,13,16,5,0,4,3,1,31.2
2589974,E. Weaver,DSC,9,19,14,6,0,8,7,4,42.9
2324181,D. Hicks,BIG,8,24,13,8,3,7,5,2,73.1
2534746,E. Demers,UUN,8,22,11,7,3,7,5,2,77.3
191820,F. Terra,DSC,10,11,11,4,1,3,2,4,40.9
17101,J. Santiso,AGU,6,8,10,2,1,3,3,0,25.0
2486591,Q. Wilson,UAT,8,15,9,5,0,5,5,2,55.6
2394559,D. Zekovic,MAL,11,13,9,4,1,4,4,0,50.0
15259,S. Zanotta,HYM,10,11,9,4,1,2,2,3,50.0
16717,G. Semiglia,HYM,7,9,9,3,3,0,0,0,50.0
1987397,J. Josiah,GOE,5,16,8,4,3,5,5,3,68.8
15217,F. Haller,HYM,10,14,8,4,1,5,5,0,56.2
2399946,J. Webster,MAL,4,12,8,6,0,2,0,1,75.0
2534717,E. Clark,AGU,6,11,8,2,1,6,6,3,31.2
425204,A. Louis,HYM,7,7,8,3,1,0,0,0,43.8
14724,S. Vidal,AGU,6,7,8,1,0,7,5,3,12.5
62685,S. Massa,UUN,7,6,8,1,0,7,4,0,12.5
811063,N. Pomoli,CAP,2,4,8,1,1,2,1,0,18.8
15257,F. Medina,COR,5,2,8,1,0,0,0,2,12.5
16508,A. Acosta,GOE,8,12,7,3,2,6,4,3,57.1
1719070,J. Ortiz,WEL,1,12,7,4,2,4,2,1,71.4
2074488,M. Benitez,UUN,6,7,7,3,0,2,1,0,42.9
16616,N. Catala,BIG,5,6,7,1,1,4,3,0,21.4
15251,L. Parodi,CNF,4,5,7,2,1,0,0,1,35.7
1709203,E. Holt,UUN,3,2,7,1,0,0,0,0,14.3
16857,G. Iglesias,BIG,5,10,6,2,2,4,4,0,50.0
2619160,D. Davis,MAL,3,10,6,4,2,0,0,1,83.3
208488,J. Ducasse,UAT,6,4,6,1,1,2,1,1,25.0
1334179,F. Garcia,WEL,4,4,6,2,0,0,0,0,33.3
17571,F. Pereiras,AGU,7,2,6,1,0,0,0,1,16.7
258698,M. Mayora,HYM,8,11,5,2,1,6,6,0,50.0
617418,S. Vescovi,CAP,5,11,5,3,1,5,4,1,70.0
1338848,M. Giano,UAT,6,10,5,3,1,5,3,0,70.0
2603089,C. Alaekwe,UAT,5,8,5,3,1,2,1,2,70.0
2288279,J. Strings,GOE,3,8,5,4,0,0,0,0,80.0
312957,R. Hassan,WEL,3,8,5,4,0,2,0,1,80.0
1871466,A. Pruitt,GOE,4,6,5,1,1,4,3,1,30.0
1942261,M. Espinosa,BIG,8,5,5,2,0,2,1,1,40.0
2534720,B. Beamer,COR,2,5,5,2,1,0,0,1,50.0
17677,B. Barrera,CNF,2,5,5,2,1,0,0,0,50.0
17046,M. Zubiaurre,DSC,7,4,5,2,0,0,0,0,40.0
15493,J. Osimani,AGU,3,3,5,1,0,2,1,0,20.0
2534738,I. Ross,UAT,3,2,5,1,0,0,0,0,20.0
2620614,A. Spruill,COR,1,2,5,1,0,0,0,0,20.0
961332,E. Bonet,GOE,8,1,5,0,0,6,1,2,0.0
1314626,L. Santos,AGU,5,12,4,4,0,4,4,1,100.0
1924909,F. Hassell,BIG,6,9,4,4,0,1,1,0,100.0
2534741,T. Prince,UAT,8,8,4,2,0,5,4,2,50.0
43252,M. Sarni,UUN,8,7,4,2,1,5,2,0,62.5
2486580,J. Canty,HYM,7,7,4,2,0,4,3,0,50.0
1346396,S. Fernandez,MAL,8,6,4,1,1,4,3,1,37.5
539387,F. Soto,DSC,9,6,4,2,1,2,1,2,62.5
2619167,T. Cracknell,GOE,5,5,4,2,0,3,1,1,50.0
2154756,I. Dos Santos,GOE,2,5,4,2,1,0,0,0,62.5
43224,N. Colmenares,DSC,10,4,4,2,0,2,0,1,50.0
571401,X. Couste,GOE,5,4,4,1,1,2,1,1,37.5
16807,A. Lopez,UAT,5,2,4,1,0,0,0,0,25.0
1644398,J. Sacco,UUN,5,2,4,1,0,0,0,2,25.0
2486574,D. Wilson,DSC,2,1,4,0,0,2,1,0,0.0
2534742,T. Daniels,UUN,5,0,4,0,0,0,0,1,0.0
909792,A. Arevalo,WEL,2,9,3,3,3,0,0,1,150.0
2698439,M. Henry,HYM,2,9,3,1,1,7,6,2,50.0
1645560,N. Martinez,MAL,11,8,3,2,2,5,2,2,100.0
1430994,J. Rodriguez,AGU,4,7,3,3,1,0,0,1,116.7
16177,M. Romero,MAL,12,6,3,0,0,9,6,3,0.0
1567203,M. Oyenard,GOE,4,6,3,3,0,0,0,0,100.0
191795,S. Ottonello,BIG,9,6,3,2,2,0,0,0,100.0
17110,O. Medina,MAL,4,6,3,3,0,2,0,1,100.0
1639448,V. Rudd,DSC,1,5,3,2,0,3,1,1,66.7
1642407,D. Pena Garcia,WEL,2,4,3,0,0,4,4,0,0.0
1642412,S. Hogan,CAP,3,4,3,1,0,2,2,0,33.3
16715,B. Garcia,BIG,5,4,3,1,1,1,1,0,50.0
2620318,J. O'neal,COR,2,4,3,2,0,0,0,0,66.7
348404,D. Nesbitt,GOE,3,3,3,0,0,7,3,0,0.0
1765563,A. Moller,UUN,3,2,3,1,0,2,0,1,33.3
2321121,J. Feldeine,CNF,3,2,3,0,0,2,2,0,0.0
15216,E. Gonzalez,COR,6,0,3,0,0,0,0,0,0.0
1714808,B. Curadossi,UUN,6,0,3,0,0,0,0,0,0.0
1676246,N. Lema,CAP,1,0,3,0,0,2,0,0,0.0
999249,M. Bianchi,DSC,6,10,2,2,0,6,6,0,100.0
17691,E. Serres,CAP,3,6,2,2,2,0,0,0,150.0
2413907,E. Bell,CNF,3,5,2,2,0,1,1,0,100.0
2321115,C. Guyton,MAL,1,5,2,1,1,2,2,0,75.0
2486578,A. Nation,HYM,6,4,2,1,0,2,2,4,50.0
2534712,E. Mockevicius,AGU,2,4,2,1,0,3,2,0,50.0
17669,G. Espindola,CNF,4,4,2,0,0,6,4,0,0.0
16739,G. Barrera,WEL,2,3,2,1,1,0,0,0,75.0
17044,F. Verrone,GOE,4,3,2,1,1,0,0,0,75.0
1894506,A. Mendez,CNF,1,3,2,1,1,0,0,0,75.0
1989296,T. Rodriguez,BIG,3,2,2,0,0,2,2,2,0.0
16511,S. Moglia,WEL,1,0,2,0,0,0,0,0,0.0
15196,M. Cabot,CNF,3,0,2,0,0,0,0,1,0.0
17379,P. Rusch,COR,3,0,2,0,0,0,0,2,0.0
968070,G. Souza,UAT,5,0,2,0,0,0,0,0,0.0
2620317,T. Ferguson,WEL,1,0,2,0,0,0,0,0,0.0
2451012,A. Zaporta,WEL,1,0,2,0,0,0,0,1,0.0
2577763,A. Gilder Jr.,COR,1,5,1,1,1,3,2,0,150.0
1981004,D. Wright,DSC,3,4,1,1,0,2,2,0,100.0
701864,D. Sims,AGU,3,4,1,0,0,6,4,1,0.0
623893,L. Planells,COR,2,3,1,1,1,0,0,0,150.0
2617486,W. Reed,BIG,3,3,1,0,0,5,3,0,0.0
2486588,G. Whittington,CAP,1,2,1,1,0,0,0,0,100.0
2096885,A. Peña,WEL,1,2,1,1,0,1,0,0,100.0
258681,M. Rojas,CAP,3,2,1,1,0,0,0,1,100.0
1975797,A. Ibarguen,CAP,3,1,1,0,0,2,1,0,0.0
2620319,E. Buckner,UUN,2,1,1,0,0,2,1,2,0.0
17554,A. Zuvich,AGU,6,0,1,0,0,0,0,2,0.0
1723827,M. Mac Mullen,DSC,2,0,1,0,0,0,0,0,0.0
983931,T. Leites,COR,4,0,1,0,0,0,0,0,0.0
1651515,G. Brun,UAT,1,0,1,0,0,0,0,0,0.0
2197574,M. Simon,AGU,1,0,1,0,0,0,0,0,0.0
17628,E. Oglivie,CNF,2,0,1,0,0,0,0,0,0.0
1977269,A. Irastorza,GOE,1,0,1,0,0,0,0,0,0.0
1643387,N. Amichetti,UUN,1,0,1,0,0,0,0,0,0.0
2178363,E. Romero,CAP,1,0,1,0,0,0,0,0,0.0
921915,D. Robinson,AGU,1,0,1,0,0,0,0,0,0.0
2619903,D. Higgs,COR,1,2,0,0,0,2,2,0,0.0
727814,I. Xavier,HYM,9,2,0,0,0,2,2,0,0.0
2534719,K. Higgins,COR,2,1,0,0,0,1,1,0,0.0
2261706,S. Conceicao,GOE,3,1,0,0,0,2,1,2,0.0
1661037,M. Arregui,COR,1,1,0,0,0,2,1,1,0.0
1661038,P. Gomez,CNF,1,0,0,0,0,0,0,1,0.0
2534726,V. Clemente Baffuto,COR,3,0,0,0,0,0,0,1,0.0
