team,lineup,Poss,ORtg,DRtg,Net,personIds
AGU,A. Zuvich / E. Clark / F. Pereiras / J. Santiso / S. Vidal,150,115.5,106.8,8.7,14724|17101|17554|17571|2534717
AGU,E. Clark / E. Mockevicius / F. Pereiras / J. Santiso / S. Vidal,103,96.1,117.9,-21.8,14724|17101|17571|2534712|2534717
BIG,D. Hicks / F. Hassell / G. Iglesias / J. Matos / M. Espinosa,255,114.5,108.6,5.9,16857|1924909|1942261|2324181|2534718
BIG,D. Hicks / G. Iglesias / J. Matos / M. Espinosa / W. Reed,123,129.7,109.2,20.6,16857|1942261|2324181|2534718|2617486
CAP,A. Ibarguen / G. Whittington / N. Pomoli / S. Hogan / S. Vescovi,172,125.9,94.9,31.0,1642412|1975797|2486588|617418|811063
CAP,A. Ibarguen / M. Rojas / N. Pomoli / S. Hogan / S. Vescovi,137,114.2,87.0,27.2,1642412|1975797|258681|617418|811063
CNF,E. Bell / G. Espindola / J. Feldeine / L. Parodi / P. Prieto,113,141.4,99.2,42.2,15251|1722930|17669|2321121|2413907
DSC,E. Weaver / F. Soto / F. Terra / N. Colmenares / T. Metzger,102,97.1,89.9,7.2,191820|2589974|43224|539387|725720
GOE,A. Acosta / A. Pruitt / E. Bonet / J. Strings / T. Cracknell,191,90.0,100.0,-10.0,16508|1871466|2288279|2619167|961332
HYM,A. Louis / A. Nation / I. Xavier / J. Canty / S. Zanotta,234,111.7,100.0,11.8,15259|2486578|2486580|425204|727814
MAL,D. Zekovic / J. Cruz / K. Wachsman / M. Romero / R. Abell,139,97.9,106.9,-9.0,16177|17488|2394559|2534733|2534734
MAL,D. Zekovic / J. Cruz / K. Wachsman / R. Abell / S. Fernandez,128,109.0,112.3,-3.3,1346396|17488|2394559|2534733|2534734
UAT,I. Ross / J. Ducasse / M. Giano / Q. Wilson / T. Prince,251,111.3,106.0,5.4,1338848|208488|2486591|2534738|2534741
UAT,C. Alaekwe / J. Ducasse / M. Giano / Q. Wilson / T. Prince,180,101.9,99.8,2.0,1338848|208488|2486591|2534741|2603089
UAT,C. Alaekwe / G. Souza / J. Ducasse / M. Giano / T. Prince,147,112.6,108.1,4.5,1338848|208488|2534741|2603089|968070
UAT,C. Alaekwe / G. Souza / M. Giano / Q. Wilson / T. Prince,116,115.2,97.1,18.2,1338848|2486591|2534741|2603089|968070
UUN,E. Demers / E. Holt / M. Benitez / M. Sarni / T. Daniels,132,116.1,101.4,14.7,1709203|2074488|2534742|2534746|43252
