team,quarter,GP,PF,PA,Dif,FGA,eFG,D_FGA,D_eFG
AGU,Q1,22,24.2,22.9,1.3,17.1,58.2,18.5,53.9
AGU,Q2,22,24.3,21.6,2.7,17.6,58.7,17.8,49.6
AGU,Q3,22,22.1,20.6,1.5,16.7,51.9,17.7,51.0
AGU,Q4,22,21.3,21.4,-0.1,15.5,54.5,18.0,49.9
BIG,Q1,22,22.7,22.0,0.7,18.9,55.2,17.9,54.9
BIG,Q2,22,20.8,23.8,-3.0,17.2,49.7,17.9,58.0
BIG,Q3,22,21.6,23.1,-1.5,16.5,54.3,18.1,55.4
BIG,Q4,22,22.0,18.7,3.3,17.0,54.0,17.1,42.3
BIG,OT,2,13.5,14.0,-0.5,6.5,73.1,9.0,55.6
CAP,Q1,21,23.0,19.7,3.3,17.3,57.7,17.5,48.8
CAP,Q2,21,23.2,17.8,5.4,17.5,57.1,16.6,44.1
CAP,Q3,21,22.1,18.5,3.6,16.4,55.1,16.3,46.5
CAP,Q4,21,21.6,18.4,3.2,15.5,58.5,15.5,48.5
CNF,Q1,22,22.8,21.8,1.0,18.1,54.3,16.9,55.8
CNF,Q2,22,24.8,22.2,2.6,17.7,55.1,16.8,52.0
CNF,Q3,22,22.8,18.9,3.9,18.7,51.6,16.6,47.4
CNF,Q4,22,22.0,20.3,1.7,17.0,52.4,16.5,51.2
COR,Q1,22,18.4,25.4,-7.0,17.4,46.1,19.0,57.8
COR,Q2,22,24.1,23.5,0.5,16.7,59.9,18.2,53.9
COR,Q3,22,19.9,24.6,-4.7,16.5,50.0,17.3,57.1
COR,Q4,22,18.1,22.0,-4.0,17.3,42.8,16.6,55.1
DSC,Q1,22,25.5,22.8,2.6,17.3,63.7,18.2,54.9
DSC,Q2,22,21.3,22.9,-1.6,16.9,53.2,17.4,58.5
DSC,Q3,22,20.9,18.7,2.2,16.4,54.0,16.2,49.0
DSC,Q4,22,18.8,20.6,-1.8,16.5,45.6,15.8,53.6
GOE,Q1,22,20.4,21.6,-1.2,18.0,50.1,17.5,55.2
GOE,Q2,22,19.8,22.5,-2.7,17.2,47.2,17.6,56.5
GOE,Q3,22,20.1,21.2,-1.1,17.3,48.0,17.4,51.2
GOE,Q4,22,20.7,22.9,-2.2,16.8,51.5,16.3,55.4
GOE,OT,1,13.0,17.0,-4.0,11.0,50.0,5.0,110.0
HYM,Q1,21,22.6,21.8,0.8,19.0,50.6,16.5,54.5
HYM,Q2,21,21.4,20.7,0.7,17.2,52.8,16.5,51.9
HYM,Q3,21,20.2,20.7,-0.5,17.7,49.2,16.2,50.3
HYM,Q4,21,22.1,20.3,1.8,16.9,52.3,15.8,48.3
MAL,Q1,22,22.7,21.3,1.4,17.4,56.3,18.0,53.8
MAL,Q2,22,19.8,21.0,-1.3,17.6,48.2,17.9,51.9
MAL,Q3,22,19.2,19.0,0.2,16.5,50.0,16.0,48.3
MAL,Q4,22,20.1,19.5,0.5,15.4,50.3,15.9,51.3
UAT,Q1,22,21.6,21.3,0.4,17.5,53.4,17.9,51.7
UAT,Q2,22,19.7,19.7,0.0,17.5,46.9,17.2,47.2
UAT,Q3,22,21.1,20.9,0.2,16.6,52.3,16.4,51.7
UAT,Q4,22,20.5,20.6,-0.0,15.7,51.3,16.2,51.4
UUN,Q1,22,23.7,20.9,2.8,18.1,57.7,15.9,54.7
UUN,Q2,22,22.2,22.1,0.0,18.0,52.9,16.6,52.1
UUN,Q3,22,21.5,21.2,0.3,17.1,52.4,15.9,55.7
UUN,Q4,22,21.6,22.1,-0.5,17.6,49.5,16.6,54.7
WEL,Q1,22,19.0,25.0,-6.0,17.2,48.9,19.5,55.4
WEL,Q2,22,21.3,24.4,-3.1,16.6,53.4,17.2,58.0
WEL,Q3,22,19.8,23.7,-3.9,16.0,50.6,18.3,54.2
WEL,Q4,22,19.9,21.6,-1.7,16.5,51.0,17.5,50.6
WEL,OT,1,15.0,10.0,5.0,7.0,64.3,8.0,50.0
