team,zone,FGA,FGM,3PM,FGpct,eFG
AGU,restringida,430,274,0,63.7,63.7
AGU,pintura,278,133,0,47.8,47.8
AGU,media,141,62,0,44.0,44.0
AGU,3 esquina izq,80,34,34,42.5,63.8
AGU,3 ala izq,163,59,59,36.2,54.3
AGU,3 frente,140,51,51,36.4,54.6
AGU,3 ala der,168,59,59,35.1,52.7
AGU,3 esquina der,72,33,33,45.8,68.8
BIG,restringida,365,229,0,62.7,62.7
BIG,pintura,428,210,0,49.1,49.1
BIG,media,120,46,0,38.3,38.3
BIG,3 esquina izq,62,22,22,35.5,53.2
BIG,3 ala izq,199,68,68,34.2,51.3
BIG,3 frente,129,42,42,32.6,48.8
BIG,3 ala der,185,68,68,36.8,55.1
BIG,3 esquina der,58,28,28,48.3,72.4
CAP,restringida,422,287,0,68.0,68.0
CAP,pintura,346,160,0,46.2,46.2
CAP,media,81,37,0,45.7,45.7
CAP,3 esquina izq,90,32,32,35.6,53.3
CAP,3 ala izq,153,60,60,39.2,58.8
CAP,3 frente,89,38,38,42.7,64.0
CAP,3 ala der,148,54,54,36.5,54.7
CAP,3 esquina der,71,26,26,36.6,54.9
CNF,restringida,534,352,0,65.9,65.9
CNF,pintura,292,118,0,40.4,40.4
CNF,media,115,39,0,33.9,33.9
CNF,3 esquina izq,71,33,33,46.5,69.7
CNF,3 ala izq,196,69,69,35.2,52.8
CNF,3 frente,138,41,41,29.7,44.6
CNF,3 ala der,170,56,56,32.9,49.4
CNF,3 esquina der,57,21,21,36.8,55.3
COR,restringida,446,278,0,62.3,62.3
COR,pintura,324,149,0,46.0,46.0
COR,media,163,62,0,38.0,38.0
COR,3 esquina izq,68,31,31,45.6,68.4
COR,3 ala izq,184,43,43,23.4,35.1
COR,3 frente,107,38,38,35.5,53.3
COR,3 ala der,152,41,41,27.0,40.5
COR,3 esquina der,50,15,15,30.0,45.0
DSC,restringida,450,313,0,69.6,69.6
DSC,pintura,311,137,0,44.1,44.1
DSC,media,129,46,0,35.7,35.7
DSC,3 esquina izq,63,31,31,49.2,73.8
DSC,3 ala izq,174,59,59,33.9,50.9
DSC,3 frente,110,38,38,34.5,51.8
DSC,3 ala der,182,51,51,28.0,42.0
DSC,3 esquina der,57,24,24,42.1,63.2
GOE,restringida,329,221,0,67.2,67.2
GOE,pintura,337,128,0,38.0,38.0
GOE,media,194,65,0,33.5,33.5
GOE,3 esquina izq,77,24,24,31.2,46.8
GOE,3 ala izq,193,63,63,32.6,49.0
GOE,3 frente,116,27,27,23.3,34.9
GOE,3 ala der,206,84,84,40.8,61.2
GOE,3 esquina der,84,30,30,35.7,53.6
HYM,restringida,468,283,0,60.5,60.5
HYM,pintura,228,100,0,43.9,43.9
HYM,media,232,101,0,43.5,43.5
HYM,3 esquina izq,42,16,16,38.1,57.1
HYM,3 ala izq,152,51,51,33.6,50.3
HYM,3 frente,119,40,40,33.6,50.4
HYM,3 ala der,159,51,51,32.1,48.1
HYM,3 esquina der,85,26,26,30.6,45.9
MAL,restringida,419,269,0,64.2,64.2
MAL,pintura,282,114,0,40.4,40.4
MAL,media,138,61,0,44.2,44.2
MAL,3 esquina izq,70,23,23,32.9,49.3
MAL,3 ala izq,183,63,63,34.4,51.6
MAL,3 frente,140,41,41,29.3,43.9
MAL,3 ala der,182,60,60,33.0,49.5
MAL,3 esquina der,59,20,20,33.9,50.8
UAT,restringida,411,292,0,71.0,71.0
UAT,pintura,246,112,0,45.5,45.5
UAT,media,196,71,0,36.2,36.2
UAT,3 esquina izq,99,44,44,44.4,66.7
UAT,3 ala izq,161,38,38,23.6,35.4
UAT,3 frente,101,29,29,28.7,43.1
UAT,3 ala der,178,48,48,27.0,40.4
UAT,3 esquina der,88,27,27,30.7,46.0
UUN,restringida,437,313,0,71.6,71.6
UUN,pintura,321,130,0,40.5,40.5
UUN,media,119,41,0,34.5,34.5
UUN,3 esquina izq,81,29,29,35.8,53.7
UUN,3 ala izq,192,63,63,32.8,49.2
UUN,3 frente,146,49,49,33.6,50.3
UUN,3 ala der,200,67,67,33.5,50.2
UUN,3 esquina der,64,22,22,34.4,51.6
WEL,restringida,338,224,0,66.3,66.3
WEL,pintura,340,173,0,50.9,50.9
WEL,media,160,58,0,36.2,36.2
WEL,3 esquina izq,64,18,18,28.1,42.2
WEL,3 ala izq,204,59,59,28.9,43.4
WEL,3 frente,145,41,41,28.3,42.4
WEL,3 ala der,156,58,58,37.2,55.8
WEL,3 esquina der,61,20,20,32.8,49.2
