code,name,GP,PTS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF
CNF,NACIONAL,22,2031,729,1573,509,941,220,632,353,527,280,607,887,413,224,54,286,478
AGU,AGUADA,22,2022,705,1472,469,849,236,623,376,492,234,647,881,460,168,76,301,426
UUN,URUNDAY UNIVERSITARIO,22,1956,714,1560,484,877,230,683,298,469,335,586,921,480,206,51,318,496
BIG,BIGUA,22,1944,713,1546,485,913,228,633,290,402,236,587,823,407,155,61,259,425
DSC,D SPORTING,22,1902,699,1476,496,890,203,586,301,435,256,599,855,384,159,51,279,428
CAP,PEÑAROL,21,1889,694,1400,484,849,210,551,291,440,268,647,915,451,168,47,298,387
UAT,UNION ATLETICA,22,1826,661,1480,475,853,186,627,318,421,230,624,854,347,155,66,262,423
HYM,HEBRAICA Y MACABI,21,1812,668,1485,484,928,184,557,292,416,302,604,906,408,165,72,287,458
MAL,MALVIN,22,1799,651,1473,444,839,207,634,290,424,278,603,881,339,140,51,269,386
GOE,GOES,22,1797,642,1536,414,860,228,676,285,402,237,597,834,366,143,74,267,441
WEL,WELCOME,22,1776,651,1468,455,838,196,630,278,391,156,593,749,419,162,43,304,439
COR,CORDON,22,1771,657,1494,489,933,168,561,289,450,261,564,825,397,147,63,347,461
